# k [Mpc^{-1}]             T(k) [Mpc^3]  
  2.992264636608189E-005  0.999981403350830     
  3.076096814740705E-005  0.999980330467224     
  3.162277660168380E-005  0.999979257583618     
  3.250872973854347E-005  0.999978065490723     
  3.341950400261143E-005  0.999976873397827     
  3.435579478998743E-005  0.999975502490997     
  3.531831697919570E-005  0.999974071979523     
  3.630780547701017E-005  0.999972701072693     
  3.732501577957207E-005  0.999971091747284     
  3.837072454922785E-005  0.999969542026520     
  3.944573020752785E-005  0.999967753887177     
  4.055085354483844E-005  0.999965906143188     
  4.168693834703355E-005  0.999963998794556     
  4.285485203974392E-005  0.999961972236633     
  4.405548635065534E-005  0.999959766864777     
  4.528975799036213E-005  0.999957621097565     
  4.655860935229591E-005  0.999955236911774     
  4.786300923226380E-005  0.999952733516693     
  4.920395356814511E-005  0.999949932098389     
  5.058246620031137E-005  0.999947190284729     
  5.199959965335162E-005  0.999944210052490     
  5.345643593969714E-005  0.999941051006317     
  5.495408738576248E-005  0.999937713146210     
  5.649369748123022E-005  0.999934196472168     
  5.807644175213124E-005  0.999930500984192     
  5.970352865838366E-005  0.999926567077637     
  6.137620051647945E-005  0.999922513961792     
  6.309573444801929E-005  0.999918162822723     
  6.486344335482387E-005  0.999913513660431     
  6.668067692136219E-005  0.999908566474915     
  6.854882264526621E-005  0.999903619289398     
  7.046930689671467E-005  0.999898076057434     
  7.244359600749906E-005  0.999892473220825     
  7.447319739059889E-005  0.999886333942413     
  7.655966069112569E-005  0.999879956245422     
  7.870457896950985E-005  0.999873220920563     
  8.090958991783830E-005  0.999866008758545     
  8.317637711026709E-005  0.999858498573303     
  8.550667128846841E-005  0.999850571155548     
  8.790225168308842E-005  0.999842166900635     
  9.036494737223004E-005  0.999833464622498     
  9.289663867799363E-005  0.999824106693268     
  9.549925860214369E-005  0.999814271926880     
  9.817479430199844E-005  0.999803841114044     
  1.009252886076684E-004  0.999792814254761     
  1.037528415818013E-004  0.999781191349030     
  1.066596121230258E-004  0.999768912792206     
  1.096478196143185E-004  0.999756097793579     
  1.127197456175510E-004  0.999742507934570     
  1.158777356155126E-004  0.999728083610535     
  1.191242008027375E-004  0.999712884426117     
  1.224616199265049E-004  0.999696969985962     
  1.258925411794167E-004  0.999680042266846     
  1.294195841449986E-004  0.999662160873413     
  1.330454417978091E-004  0.999643385410309     
  1.367728825595849E-004  0.999623477458954     
  1.406047524129914E-004  0.999602675437927     
  1.445439770745928E-004  0.999580502510071     
  1.485935642287007E-004  0.999557256698608     
  1.527566058238073E-004  0.999532520771027     
  1.570362804333553E-004  0.999506711959839     
  1.614358556826487E-004  0.999479413032532     
  1.659586907437562E-004  0.999450564384460     
  1.706082389003124E-004  0.999420166015625     
  1.753880501841762E-004  0.999388098716736     
  1.803017740859570E-004  0.999354302883148     
  1.853531623414812E-004  0.999318718910217     
  1.905460717963248E-004  0.999281048774719     
  1.958844673505991E-004  0.999241471290588     
  2.013724249862389E-004  0.999199688434601     
  2.070141348791041E-004  0.999155640602112     
  2.128139045982711E-004  0.999109268188477     
  2.187761623949552E-004  0.999060332775116     
  2.249054605835780E-004  0.999008774757385     
  2.312064790175594E-004  0.998954534530640     
  2.376840286624876E-004  0.998897373676300     
  2.443430552693971E-004  0.998837113380432     
  2.511886431509580E-004  0.998773515224457     
  2.582260190634596E-004  0.998706579208374     
  2.654605561975539E-004  0.998636245727539     
  2.728977782808040E-004  0.998562037944794     
  2.805433637951713E-004  0.998483836650848     
  2.884031503126605E-004  0.998401522636414     
  2.964831389524342E-004  0.998314976692200     
  3.047894989627983E-004  0.998223662376404     
  3.133285724315586E-004  0.998127698898315     
  3.221068791283435E-004  0.998026609420776     
  3.311311214825911E-004  0.997920334339142     
  3.404081897010009E-004  0.997808396816254     
  3.499451670283573E-004  0.997690677642822     
  3.597493351557423E-004  0.997566878795624     
  3.698281797802662E-004  0.997436523437500     
  3.801893963205612E-004  0.997299551963806     
  3.908408957924021E-004  0.997155427932739     
  4.017908108489400E-004  0.997003972530365     
  4.130475019901615E-004  0.996844649314880     
  4.246195639463130E-004  0.996677219867706     
  4.365158322401661E-004  0.996501147747040     
  4.487453899331323E-004  0.996316254138947     
  4.613175745603796E-004  0.996121942996979     
  4.742419852602448E-004  0.995917797088623     
  4.875284901033865E-004  0.995703518390656     
  5.011872336272725E-004  0.995478391647339     
  5.152286445817567E-004  0.995241999626160     
  5.296634438916581E-004  0.994993805885315     
  5.445026528424215E-004  0.994733214378357     
  5.597576014951105E-004  0.994459867477417     
  5.754399373371572E-004  0.994173049926758     
  5.915616341754743E-004  0.993872165679932     
  6.081350012787182E-004  0.993556559085846     
  6.251726927756862E-004  0.993225634098053     
  6.426877173170201E-004  0.992878675460815     
  6.606934480075957E-004  0.992514848709106     
  6.792036326171843E-004  0.992133796215057     
  6.982324040771712E-004  0.991734385490417     
  7.177942912713615E-004  0.991316080093384     
  7.379042301291007E-004  0.990877985954285     
  7.585775750291836E-004  0.990419268608093     
  7.798301105232585E-004  0.989939093589783     
  8.016780633876790E-004  0.989436447620392     
  8.241381150130021E-004  0.988910675048828     
  8.472274141405964E-004  0.988360643386841     
  8.709635899560805E-004  0.987785398960114     
  8.953647655495937E-004  0.987183928489685     
  9.204495717531712E-004  0.986555337905884     
  9.462371613657930E-004  0.985898375511169     
  9.727472237769651E-004  0.985212206840515     
  1.000000000000000E-003  0.984495401382446     
  1.028016298126473E-003  0.983747124671936     
  1.056817509213658E-003  0.982965946197510     
  1.086425623617066E-003  0.982150912284851     
  1.116863247780561E-003  0.981300592422485     
  1.148153621496883E-003  0.980413913726807     
  1.180320635651730E-003  0.979489386081696     
  1.213388850464977E-003  0.978525698184967     
  1.247383514242943E-003  0.977521777153015     
  1.282330582656022E-003  0.976475954055786     
  1.318256738556408E-003  0.975387096405029     
  1.355189412351036E-003  0.974253535270691     
  1.393156802945304E-003  0.973074197769165     
  1.432187899273544E-003  0.971847057342529     
  1.472312502432719E-003  0.970571219921112     
  1.513561248436209E-003  0.969244837760925     
  1.555965631605075E-003  0.967866539955139     
  1.599558028614670E-003  0.966434657573700     
  1.644371723214932E-003  0.964947760105133     
  1.690440931643265E-003  0.963404178619385     
  1.737800828749376E-003  0.961802363395691     
  1.786487574852052E-003  0.960140824317932     
  1.836538343348347E-003  0.958417892456055     
  1.887991349096295E-003  0.956631779670715     
  1.940885877592779E-003  0.954781055450439     
  1.995262314968881E-003  0.952864050865173     
  2.051162178825567E-003  0.950879216194153     
  2.108628149933291E-003  0.948824763298035     
  2.167704104819694E-003  0.946699142456055     
  2.228435149270303E-003  0.944500684738159     
  2.290867652767772E-003  0.942227840423584     
  2.355049283896009E-003  0.939878940582275     
  2.421029046736178E-003  0.937452375888824     
  2.488857318282390E-003  0.934946537017822     
  2.558585886905645E-003  0.932360053062439     
  2.630267991895381E-003  0.929690957069397     
  2.703958364108844E-003  0.926938056945801     
  2.779713267759288E-003  0.924099743366241     
  2.857590543374947E-003  0.921174347400665     
  2.937649651961530E-003  0.918160438537598     
  3.019951720402016E-003  0.915056824684143     
  3.104559588128356E-003  0.911861658096313     
  3.191537855100761E-003  0.908573865890503     
  3.280952931131191E-003  0.905191779136658     
  3.372873086588689E-003  0.901714205741882     
  3.467368504525317E-003  0.898140072822571     
  3.564511334262443E-003  0.894467592239380     
  3.664375746478333E-003  0.890695869922638     
  3.767037989839089E-003  0.886823654174805     
  3.872576449216173E-003  0.882849574089050     
  3.981071705534973E-003  0.878772675991058     
  4.092606597300110E-003  0.874591708183289     
  4.207266283844442E-003  0.870305895805359     
  4.325138310350089E-003  0.865913867950439     
  4.446312674691089E-003  0.861414790153503     
  4.570881896148752E-003  0.856807649135590     
  4.698941086052156E-003  0.852091610431671     
  4.830588020397728E-003  0.847265601158142     
  4.965923214503363E-003  0.842328965663910     
  5.105049999754065E-003  0.837280631065369     
  5.248074602497728E-003  0.832120060920715     
  5.395106225151279E-003  0.826846182346344     
  5.546257129579110E-003  0.821458518505096     
  5.701642722807478E-003  0.815956115722656     
  5.861381645140291E-003  0.810338437557220     
  6.025595860743580E-003  0.804604530334473     
  6.194410750767818E-003  0.798753976821899     
  6.367955209079162E-003  0.792785823345184     
  6.546361740672754E-003  0.786699593067169     
  6.729766562843182E-003  0.780494391918182     
  6.918309709189363E-003  0.774169802665710     
  7.112135136533288E-003  0.767724871635437     
  7.311390834834172E-003  0.761159062385559     
  7.516228940182053E-003  0.754471540451050     
  7.726805850957022E-003  0.747661709785461     
  7.943282347242814E-003  0.740728616714478     
  8.165823713585922E-003  0.733671545982361     
  8.394599865193973E-003  0.726489782333374     
  8.629785477669702E-003  0.719182550907135     
  8.871560120379608E-003  0.711748957633972     
  9.120108393559097E-003  0.704188227653503     
  9.375620069258801E-003  0.696499645709991     
  9.638290236239706E-003  0.688682258129120     
  9.908319448927675E-003  0.680735409259796     
  1.018591388054117E-002  0.672658383846283     
  1.047128548050901E-002  0.664450585842133     
  1.076465213629835E-002  0.656111478805542     
  1.106623783977667E-002  0.647640883922577     
  1.137627285823431E-002  0.639038443565369     
  1.169499391019872E-002  0.630304455757141     
  1.202264434617413E-002  0.621439099311829     
  1.235947433444512E-002  0.612443327903748     
  1.270574105208542E-002  0.603318393230438     
  1.306170888131840E-002  0.594065964221954     
  1.342764961137864E-002  0.584688305854797     
  1.380384264602884E-002  0.575188636779785     
  1.419057521689093E-002  0.565570592880249     
  1.458814260275347E-002  0.555839061737061     
  1.499684835502374E-002  0.545999646186829     
  1.541700452949558E-002  0.536059200763702     
  1.584893192461114E-002  0.526025533676147     
  1.629296032639721E-002  0.515907883644104     
  1.674942876026438E-002  0.505716621875763     
  1.721868574986006E-002  0.495463281869888     
  1.770108958317422E-002  0.485161244869232     
  1.819700858609983E-002  0.474824398756027     
  1.870682140365802E-002  0.464468389749527     
  1.923091728910158E-002  0.454109877347946     
  1.976969640111862E-002  0.443766385316849     
  2.032357010936221E-002  0.433456331491470     
  2.089296130854041E-002  0.423198848962784     
  2.147830474130533E-002  0.413013309240341     
  2.208004733018901E-002  0.402919471263885     
  2.269864851883821E-002  0.392936676740646     
  2.333458062281004E-002  0.383084148168564     
  2.398832919019490E-002  0.373380452394485     
  2.466039337234341E-002  0.363843202590942     
  2.535128630497907E-002  0.354488968849182     
  2.606153549998898E-002  0.345333009958267     
  2.679168324819032E-002  0.336389303207397     
  2.754228703338169E-002  0.327669978141785     
  2.831391995799379E-002  0.319185912609100     
  2.910717118066608E-002  0.310945928096771     
  2.992264636608189E-002  0.302957206964493     
  3.076096814740711E-002  0.295225113630295     
  3.162277660168379E-002  0.287752985954285     
  3.250872973854347E-002  0.280542224645615     
  3.341950400261143E-002  0.273591995239258     
  3.435579478998750E-002  0.266898930072784     
  3.531831697919570E-002  0.260457187891006     
  3.630780547701017E-002  0.254257708787918     
  3.732501577957206E-002  0.248288348317146     
  3.837072454922792E-002  0.242532983422279     
  3.944573020752785E-002  0.236971810460091     
  4.055085354483844E-002  0.231580868363380     
  4.168693834703355E-002  0.226331889629364     
  4.285485203974392E-002  0.221193119883537     
  4.405548635065534E-002  0.216129094362259     
  4.528975799036204E-002  0.211102083325386     
  4.655860935229591E-002  0.206073224544525     
  4.786300923226380E-002  0.201004251837730     
  4.920395356814511E-002  0.195859506726265     
  5.058246620031137E-002  0.190608546137810     
  5.199959965335162E-002  0.185228452086449     
  5.345643593969714E-002  0.179706752300262     
  5.495408738576248E-002  0.174043655395508     
  5.649369748123022E-002  0.168253839015961     
  5.807644175213124E-002  0.162367627024651     
  5.970352865838366E-002  0.156430885195732     
  6.137620051647946E-002  0.150503784418106     
  6.309573444801930E-002  0.144657656550407     
  6.486344335482389E-002  0.138970747590065     
  6.668067692136219E-002  0.133522152900696     
  6.854882264526620E-002  0.128385066986084     
  7.046930689671467E-002  0.123618967831135     
  7.244359600749906E-002  0.119262568652630     
  7.447319739059889E-002  0.115327708423138     
  7.655966069112569E-002  0.111795186996460     
  7.870457896950984E-002  0.108614124357700     
  8.090958991783830E-002  0.105704776942730     
  8.317637711026708E-002  0.102965615689754     
  8.550667128846841E-002  0.100284367799759     
  8.790225168308842E-002  9.755191951990128E-002
  9.036494737223023E-002  9.467755258083344E-002
  9.289663867799362E-002  9.160339087247849E-002
  9.549925860214369E-002  8.831512182950974E-002
  9.817479430199844E-002  8.484691381454468E-002
  0.100925288607669       8.127802610397339E-002
  0.103752841581801       7.772108912467957E-002
  0.106659612123026       7.430243492126465E-002
  0.109647819614319       7.113768160343170E-002
  0.112719745617551       6.830722838640213E-002
  0.115877735615513       6.583713740110397E-002
  0.119124200802738       6.369099766016006E-002
  0.122461619926505       6.177624687552452E-002
  0.125892541179417       5.996544286608696E-002
  0.129419584144999       5.812842771410942E-002
  0.133045441797809       5.616760998964310E-002
  0.136772882559585       5.404588207602501E-002
  0.140604752412991       5.179759114980698E-002
  0.144543977074593       4.951684921979904E-002
  0.148593564228701       4.732500016689301E-002
  0.152756605823807       4.532688111066818E-002
  0.157036280433355       4.357189685106277E-002
  0.161435855682649       4.203555360436440E-002
  0.165958690743756       4.063127562403679E-002
  0.170608238900312       3.924915939569473E-002
  0.175388050184176       3.780568018555641E-002
  0.180301774085957       3.628087788820267E-002
  0.185353162341481       3.472346439957619E-002
  0.190546071796325       3.322000801563263E-002
